,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
155,"Adicto (with Anuel AA & Ozuna)",Tainy,326504,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
156,"Pirueta (with Arcangel, Chencho Corleone, feat. Wisin & Yandel, Myke Towers)","Dímelo Flow",325605,https://open.spotify.com/track/5tx7TTJEcrV5642l0Sn2sD
157,Tutu,Camilo,324935,https://open.spotify.com/track/1Ol5LmdNDNpFu1oNwfgkux
158,Negro,"J Balvin",323584,https://open.spotify.com/track/2hsA9YWuF3C9Gosi4dpjJN
159,"Break My Heart","Dua Lipa",318471,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
160,"Otro Trago - Remix",Sech,318185,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
161,"LA CANCIÓN","J Balvin",313451,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
162,Memories,"Maroon 5",311325,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
163,"Con Altura",ROSALÍA,311234,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
164,"SICKO MODE","Travis Scott",309082,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
165,"Como Si Fueras a Morir Mañana",Leiva,299352,https://open.spotify.com/track/4aAfLSx9IthpC3Pw5pNk3E
166,Bésame,"David Bisbal",298362,https://open.spotify.com/track/7kcSKOl5rR4zGxFNYhkeRX
167,"Stuck with U (with Justin Bieber)","Ariana Grande",294643,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
168,Vete,"Bad Bunny",294606,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
169,Tabú,"Pablo Alborán",294111,https://open.spotify.com/track/471HeGJPKw07MObixON0Um
170,"bad guy","Billie Eilish",293433,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
171,Bonito,"Jarabe De Palo",291546,https://open.spotify.com/track/5FiB1uNoGZE4PenzZd7Imu
172,Zorra,"Bad Gyal",289798,https://open.spotify.com/track/0OP1RzrglC008kj79Httv3
173,Veneno,Delaossa,288923,https://open.spotify.com/track/5AQTFpm3oDPTenmw5Lmfoi
174,Princesas,Pereza,287510,https://open.spotify.com/track/3hlWUNjAlbZ6nOjAbrivBv
175,"Flores Pa Tu Pelo",DELLAFUENTE,286765,https://open.spotify.com/track/1g7XVrQWDFn6xckZmQ8whB
176,"Con Calma","Daddy Yankee",286186,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
177,"Hasta el amanecer","Natos y Waor",286113,https://open.spotify.com/track/05WcYNSHMxuM7ryv5sKIjX
178,"Yalo Yale",DELLAFUENTE,283655,https://open.spotify.com/track/0cAWUMWmET5KMGcSLRes1Z
179,"Soltera - Remix",Lunay,278221,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
180,"Toco El Cielo",DELLAFUENTE,277994,https://open.spotify.com/track/0Pa0bQeO45G4ZUHIqVM5y6
181,ADMV,Maluma,276424,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6
182,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,276173,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
183,WOW,"Bryant Myers",275364,https://open.spotify.com/track/56aKqvLJGEsJgCXvczNv0i
184,"¿Qué Ha Pasao'?","Abraham Mateo",275352,https://open.spotify.com/track/2zkVH2daHyjS51g7PRJFDn
185,"The Box","Roddy Ricch",274332,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
186,Gentleman,Cepeda,271544,https://open.spotify.com/track/3Q797tkAExVmmJjEDNNLns
187,"Sigues Con El","Dímelo Flow",271544,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
188,Superpoderes,"Recycled J",267966,https://open.spotify.com/track/4E0zuROzbEvsjL00UayEpJ
189,"Sour Candy (with BLACKPINK)","Lady Gaga",267687,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
190,Fuego,Estopa,265850,https://open.spotify.com/track/5Aax4WuBCyiVp4NDB3lg5j
191,Bentley,Sech,265133,https://open.spotify.com/track/3RGg9W1OyEiRMwu1Qi45dW
192,Donde,"Ñengo Flow",263890,https://open.spotify.com/track/2omuboPrC7ivHRrtUgF2JM
193,Supalonely,BENEE,259505,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
194,Tocándote,"Anuel AA",258498,https://open.spotify.com/track/2L6YJ2mSyqStxQX4OjUOon
195,"Me Quedo",Aitana,255744,https://open.spotify.com/track/6Nqi1fWKYXrVXmF3RtQbSf
196,Roma,Pole.,253258,https://open.spotify.com/track/08meXSk6aLXfP0EpNA1s0E
197,"HIGHEST IN THE ROOM","Travis Scott",253248,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
198,"Ahora Dice Que Me Ama",Bandaga,253133,https://open.spotify.com/track/2Z3RqW9jfl62il0R4q8wQy
199,"Borracho De Amor","Cali Y El Dandee",251016,https://open.spotify.com/track/6CjbapUTRa0QabxJajf6pU
200,Shallow,"Lady Gaga",250078,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
