,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
128,"Allenamento #2","Capo Plaza",359233,https://open.spotify.com/track/3RsSxNSorUqe9K4qEGTlGC
129,"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)","Takagi & Ketra",358060,https://open.spotify.com/track/0swoHiwTazywpoqiKDUtGQ
130,Heaven,Avicii,357614,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
131,"Mon Cheri (feat. Sfera Ebbasta)",Rkomi,356959,https://open.spotify.com/track/66UkKyxN5YbJl9z7YamQOR
132,"Baila Baila Baila",Ozuna,356613,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
133,"Money Rain","Boro Boro",354835,https://open.spotify.com/track/1f1mvHcJwPPponfS45uRp1
134,"La Tua Futura Ex Moglie","Willie Peyote",354602,https://open.spotify.com/track/2qS8NRov7B0s5zhF7wzy46
135,"Adicto (with Anuel AA & Ozuna)",Tainy,354387,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
136,"C'est la vie","Achille Lauro",353478,https://open.spotify.com/track/6qrzETcLAmhkNW5PbkwcJI
137,"Veleno 6",MadMan,353179,https://open.spotify.com/track/7GfXjqXD9aBvDoBdZ7EwPH
138,"Grande Bugia","Rocco Hunt",352125,https://open.spotify.com/track/1tmeLLE8Rn6UXEAUJytmwD
139,"Contra La Pared","Sean Paul",346196,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
140,"Nun Se Ne Va","Rocco Hunt",341859,https://open.spotify.com/track/3O89DOet90IVKiZmwa6zYa
141,Discofunk,"Rocco Hunt",341816,https://open.spotify.com/track/41JLydTGHHSqVRFT0eCrY6
142,"Sweet but Psycho","Ava Max",341599,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
143,"Gli occhi della tigre",Nayt,339182,https://open.spotify.com/track/5pL8J6weoydzXglhsoJ6Vw
144,"Cambiare Adesso","Dark Polo Gang",336293,https://open.spotify.com/track/2xjxaKiYssIdDU6DCPpZPt
145,Guai,Shiva,333566,https://open.spotify.com/track/2nRWqhOJRXt2vV30xXrNVy
146,"LUNA E SOLE - prod Low Kidd",Zoda,333466,https://open.spotify.com/track/7J7vMP45n2p33jimaHO8iK
147,Elisir,Tedua,333430,https://open.spotify.com/track/7sbVjYS23l02aoYoUsKSbQ
148,Brivido,"Guè Pequeno",332126,https://open.spotify.com/track/7fH13hSOyNoeiDGbjEnTUC
149,Vertigini,Tedua,332016,https://open.spotify.com/track/1Oou7m2VuxCDSOdqsu07TU
150,"CABRIOLET (feat. Sfera Ebbasta)",Salmo,328998,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN
151,"Blu (feat. Elisa)",Rkomi,328482,https://open.spotify.com/track/0Q4v8N758nx98YxObfqkNC
152,Autostima,PSICOLOGI,328261,https://open.spotify.com/track/4GkHLa5IBnGiart95CmZQJ
153,"Settimana Bianca","Il Pagante",328246,https://open.spotify.com/track/5BqUbKq9rCMrCkRtAiz8XA
154,"All Around The World (La La La)",R3HAB,325637,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
155,"La musica non c'è",Coez,325380,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x
156,"Felicità puttana",Thegiornalisti,322885,https://open.spotify.com/track/695AOnYHYnvHIMaTNKjkA5
157,"Tutti con me","JUNIOR CALLY",322837,https://open.spotify.com/track/2WUnKA04G91QHMOv5mumSW
158,"BUD SPENCER - prod. Dade - Low Kidd - Salmo",MACHETE,319337,https://open.spotify.com/track/46HYFOcfvg2W8a8FccaRvO
159,"23 coltellate",Highsnob,318949,https://open.spotify.com/track/5RlrdqMMNm42rKgYq64a3T
160,Merci,"Carl Brave",318187,https://open.spotify.com/track/429kanJEBTPrcTKYBT8yPq
161,"El Party","Jake La Furia",318011,https://open.spotify.com/track/19LRRuiMQ8a9jhqSf8jVip
