,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
66,"O Saki Saki (From ""Batla House"")","Neha Kakkar",259879,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
67,"Proper Patola",Badshah,259380,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT
68,"Kalank (Title Track)","Arijit Singh",258375,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
69,"In Your Eyes","The Weeknd",256236,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
70,"bad guy","Billie Eilish",252373,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
71,Believer,"Imagine Dragons",252237,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
72,"Tibeyan da Putt","Sidhu Moose Wala",251697,https://open.spotify.com/track/6xJSWjmb3m5mrPEormFHiI
73,"Hui Malang (From ""Malang - Unleash The Madness"")","Asees Kaur",245438,https://open.spotify.com/track/5bAed2aRbQbjDZF9qkNSA2
74,"Tod Da E Dil","Ammy Virk",244344,https://open.spotify.com/track/1WTwFMVRQvkx9fRpCKNrJ9
75,"Chal Bombay",DIVINE,243746,https://open.spotify.com/track/6AooRgSRDzbCYL4NZ4RCjU
76,"On My Way","Alan Walker",243660,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
77,Kamaal,Badshah,238414,https://open.spotify.com/track/1q7W78ZYL9iqyYeVONU2hg
78,"Ik Tera","Maninder Buttar",235810,https://open.spotify.com/track/57DhVYA7E1CyrE4OKuyLb7
79,"Tujhe Kitna Chahein Aur (Film Version) [From ""Kabir Singh""]","Jubin Nautiyal",234281,https://open.spotify.com/track/6IwZzHNNjiNm2efYesPOjx
80,"Without Me",Halsey,232713,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
81,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",232169,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK
82,Samajavaragamana,"Sid Sriram",229898,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy
83,"After Hours","The Weeknd",226704,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
84,"Dil Diyan Gallan","Atif Aslam",224837,https://open.spotify.com/track/5MnAi6ZF7cE8pAz7wYr9Ta
85,"Jinke Liye (From ""Jaani Ve"")","Neha Kakkar",221519,https://open.spotify.com/track/5eXkMHrTm82gAZYK5Zx6ux
86,"Chandigarh Mein",Badshah,221055,https://open.spotify.com/track/5RHCtCi4k67doox07JmHTf
87,Vaaste,"Dhvani Bhanushali",220477,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3
88,"Boht Tej",Badshah,218252,https://open.spotify.com/track/0TaL0jvsvRwm17IcGNZkpe
89,"Godzilla (feat. Juice WRLD)",Eminem,216627,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
90,"Jee Karr Daa","Harrdy Sandhu",216206,https://open.spotify.com/track/5dKlbv9CJjO5tC1jFQgZeH
91,"Shaitan Ka Saala (From ""Housefull 4"")","Sohail Sen",215487,https://open.spotify.com/track/7IAJzec1UxGYmNvbPTHbxx
92,"I Like Me Better",Lauv,215008,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
93,Cradles,"Sub Urban",213965,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
94,Khairiyat,"Arijit Singh",212947,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
95,Naagin,Vayu,212353,https://open.spotify.com/track/7gAyu0od48mkaCw1laPKVC
96,"Jai Jai Shivshankar (From ""War"")","Vishal Dadlani",209211,https://open.spotify.com/track/6lfSsCL894Qw15xbt7cSUy
97,"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu",208511,https://open.spotify.com/track/4XyKoSEWrkQjI4AekJYWNx
98,Paagal,Badshah,207025,https://open.spotify.com/track/4gyPGtExOjj1rsByKW33LR
99,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik",205476,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk
100,"Naah Goriye (From ""Bala"")","B Praak",204957,https://open.spotify.com/track/1CM4rFDU9q4EoLy2K44qE6
101,"Kalla Sohna Nai",Akhil,204007,https://open.spotify.com/track/4yurVSNjaPBKkOpbZWtuJO
102,"Ik Mulaqaat","Meet Bros.",203887,https://open.spotify.com/track/17uI7afUaul1hCzMTF9txd
103,"Boss Bitch","Doja Cat",203854,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
104,Filhall,"B Praak",201912,https://open.spotify.com/track/6E7P1uT2afeor2t6wR2y2r
105,"Forever (feat. Post Malone & Clever)","Justin Bieber",200885,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
106,"rockstar (feat. 21 Savage)","Post Malone",200883,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
107,"The Hook Up Song",Vishal-Shekhar,200799,https://open.spotify.com/track/1bLNqR3bqpyWkwWKECjVrw
