,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
103,"Acabou Acabou (Quando Eu Digo Que Acabou) - Ao Vivo","Gabriel Diniz",616131,https://open.spotify.com/track/7krl54SfiKf4fMlM7lGlWc
104,Believer,"Imagine Dragons",602770,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
105,"Pray For Me (with Kendrick Lamar)","The Weeknd",601977,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
106,"4 da manhã",UM44K,600280,https://open.spotify.com/track/5xVJU6DJHnmHnbbKS56yCC
107,"Medida Certa","Jorge & Mateus",596080,https://open.spotify.com/track/44mr3ypWNHa0inr3heiOb2
108,"Três Pontinhos - Ao Vivo","Jorge & Mateus",593340,https://open.spotify.com/track/43nkDm3QmUcioZTbNWzwMK
109,"Aquela Pessoa - Ao Vivo","Henrique & Juliano",589894,https://open.spotify.com/track/3A1LphuJ5lQD6NjPtxtYFh
110,Perfect,"Ed Sheeran",583492,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
111,Fuleragem,"MC WM",582634,https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
112,"Se Eu Tiver Solteiro","Mc Don Juan",578805,https://open.spotify.com/track/4KXdwfri1NIQCImLQr3Wli
113,"Aí Desgramou - Ao Vivo","Talis e Welinton",577490,https://open.spotify.com/track/0A7yxYg9J8l6s7RLXEFhze
114,"Era uma Vez","Kell Smith",574906,https://open.spotify.com/track/57AmbM2loMyozAU1kjW308
115,"Com Amor Não Se Brinca - Ao Vivo","Jonas Esticado",572106,https://open.spotify.com/track/0AyCBE9YKWjatl0ukCAhxN
116,"Poesia Acústica #2: Sobre Nós",Delacruz,568054,https://open.spotify.com/track/6HaTYIUKd8SzdvGOfutBRD
117,"Não Troco","Hungria Hip Hop",558828,https://open.spotify.com/track/0eDFrr2qgbIPQSU9YQeAXM
118,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",551875,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
119,"O Grave Bater","MC Kevinho",545083,https://open.spotify.com/track/1bUazU9SSOh02AdlOPeTvm
120,"Trevo (Tu)",ANAVITÓRIA,544724,https://open.spotify.com/track/6bgQIw80xWC3MPZX4kVYGw
121,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",543687,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
122,Silence,Marshmello,538164,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
123,"The Middle",Zedd,537228,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
124,"Saudade do Caramba - Ao Vivo","João Neto & Frederico",536440,https://open.spotify.com/track/7knOtdRwbbvP55B6KB2xvv
125,"Vai Embrazando","Mc Zaac",535144,https://open.spotify.com/track/1zhfU6YXa2pXUAQdG1NvBZ
126,"Você Não Vale Nada","Zé Felipe",533493,https://open.spotify.com/track/6EFIK4B0jrvLO096QYEhnX
127,"Love Lies (with Normani)",Khalid,532057,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
128,Linda,Projota,531706,https://open.spotify.com/track/7vxMtIwEn1bUKTqPKEMzJJ
129,"Poesia Acústica #4: Todo Mundo Odeia Acústico","Pineapple StormTv",531509,https://open.spotify.com/track/4nwQ1SG9CsAl4XoKuScF0r
130,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",525731,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
131,"Não Deixo Não","Mano Walter",514110,https://open.spotify.com/track/2hgsL5UcOToRWUnNg9Jxfi
132,"Something Just Like This","The Chainsmokers",504256,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
133,"Duro Igual Concreto",1Kilo,503877,https://open.spotify.com/track/1BuSbqff6EcL8gkdkjaB63
134,"Sua cara (feat. Anitta & Pabllo Vittar)","Major Lazer",502498,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
135,"Finesse - Remix; feat. Cardi B","Bruno Mars",501631,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
136,"Irmã Gostosa","Mc Livinho",495972,https://open.spotify.com/track/7B3gD0HJTvH8zHVajBjoWK
137,"Noites Frustradas - Ao Vivo","Jads & Jadson",490901,https://open.spotify.com/track/4cn0Y9VlOUQ1CcdqTz0ROp
138,"Status Que Eu Não Queria - Acústico","Zé Neto & Cristiano",486348,https://open.spotify.com/track/0XLve6cs3OmA1E704IU8HL
139,"Paredes - Ao Vivo","Jorge & Mateus",485661,https://open.spotify.com/track/2GfxgssRHvY1azHtaRqKoK
140,"Nessas Horas - Ao Vivo","Matheus & Kauan",481266,https://open.spotify.com/track/5LVWGCl4mjGFXDIvQbOGvr
141,"River (feat. Ed Sheeran)",Eminem,479425,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
142,"Say Something (feat. Chris Stapleton)","Justin Timberlake",478421,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
143,"There's Nothing Holdin' Me Back","Shawn Mendes",476224,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
144,"O Alvo (feat. Henrique & Juliano) - Ao Vivo","Diego & Victor Hugo",472264,https://open.spotify.com/track/5Vw6ZLNB6Ko7VZM6vmNIbr
145,"Olha a Explosão","MC Kevinho",471592,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
146,"Corpo Sensual (feat. Mateus Carrilho)","Pabllo Vittar",471229,https://open.spotify.com/track/4kkQGhScJDzNIIGavQE9SN
147,"3 Dias Virado","Mc IG",470054,https://open.spotify.com/track/4uD7ypL7pDmOiMiVX6TCCa
148,"Too Good At Goodbyes","Sam Smith",461734,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
149,"Mi Gente","J Balvin",459491,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
150,"Tic Tac (feat. MC Lan)","Lucas Lucco",458432,https://open.spotify.com/track/3SdYnX1212sx5X0N4Lj3Vb
151,"Is That for Me",Alesso,458345,https://open.spotify.com/track/2KwojFDebQV4J2b0JMRR5Q
152,"Sorry Not Sorry","Demi Lovato",458321,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
153,"Mel de Marte - Ao Vivo","Gustavo Mioto",458016,https://open.spotify.com/track/39OrWG2wKOnRlbYUmIdTuW
154,"Sick Boy","The Chainsmokers",455226,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX
155,"Dusk Till Dawn - Radio Edit",ZAYN,454490,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
156,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",454026,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
157,"Top Off (feat. JAY Z, Future & Beyoncé)","DJ Khaled",452742,https://open.spotify.com/track/1W6wxOOYyJyyok8fqYSZ3m
158,"Um Brinde (feat. Marília Mendonça & Maiara & Maraisa)","Dennis DJ",448894,https://open.spotify.com/track/6aIrHPvM3l16MeS7iOQRYO
159,"Qual Bumbum Mais Bate","MC WM",448801,https://open.spotify.com/track/2AUvXXgYuNFJMCPdhxONfa
160,"Ressaca de Saudade - Ao Vivo","Wesley Safadão",447213,https://open.spotify.com/track/0r0U9AcE4LP0QzJQDUUlXP
161,Congratulations,"Post Malone",444610,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
162,"Villamix (Suave)",Alok,441744,https://open.spotify.com/track/2JnvMToHG03X15PR6Z9DeA
163,"A Gente Brigou","Mc Don Juan",439449,https://open.spotify.com/track/3j7FDNUqIMWKaji6PK5SyF
164,"Bom Rapaz (feat. Jorge & Mateus) - Ao Vivo","Fernando & Sorocaba",437270,https://open.spotify.com/track/5Zha6IxtfsLjqLYndyWcER
165,Photograph,"Ed Sheeran",435892,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
166,"Cobertor de Orelha - Ao Vivo","Turma do Pagode",429342,https://open.spotify.com/track/1XCKlzIqaehohdUTihetGN
167,"Oh Nanana","Bonde R300",427209,https://open.spotify.com/track/3ao5U0ksMLvgSoJqOpsgmv
168,"Tell Me You Love Me","Demi Lovato",423013,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj
169,Attention,"Charlie Puth",420479,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
170,K.O.,"Pabllo Vittar",420152,https://open.spotify.com/track/5zSiXA70xM4kuSt6qim6jl
171,Fuego,Alok,419738,https://open.spotify.com/track/30pVSKdzBpZ9Np4Y2bJbFM
172,"Treme Treme","MC Loma e As Gêmeas Lacração",419558,https://open.spotify.com/track/1ZPac6DuD1QbyHG7KJibFW
173,"She Loves Control","Camila Cabello",418854,https://open.spotify.com/track/5HwnezK198pJCEj1l2Adjy
174,"Mentalmente - Ao Vivo","Naiara Azevedo",417907,https://open.spotify.com/track/6EbWh7j1nLYNd2Gqlqvrc3
175,"Meu Mundo","WC no Beat",417465,https://open.spotify.com/track/12hqpRynT8G2Hwm9QzPFkd
176,"Mordida, Beijo e Tapa","Naiara Azevedo",415263,https://open.spotify.com/track/5mR5GuercvLXgx4TPnGl9k
177,"Mais Amor e Menos Drama - Ao Vivo","Henrique & Juliano",408707,https://open.spotify.com/track/2TihKW8ShdEEhKN3PSDEIq
178,Paradinha,Anitta,406856,https://open.spotify.com/track/05rJdH2MRLJ3sQoEUO78qs
179,"Bonita, Lindinha e Sagaz","Mc Davi",405252,https://open.spotify.com/track/1R1HmdunvOnEK4bibKp7q5
180,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,399958,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
181,"Cadeira de Aço - Ao Vivo","Zé Neto & Cristiano",396748,https://open.spotify.com/track/2jq2SaLa7BeUtU6Lx9bxGU
