,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
60,"Tão Linda","Atitude 67",1517810,https://open.spotify.com/track/59WWulo1LM0njpIkcduCMn
61,"Briga Feia - Ao Vivo","Henrique & Juliano",1505646,https://open.spotify.com/track/6e8X0VVUO6BIZMnDvICDOR
62,Evoluiu,"MC Kevin o Chris",1502232,https://open.spotify.com/track/0WhDotK0QXigmsrlw0DxKK
63,"Atrasadinha - Ao Vivo","Felipe Araújo",1499651,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb
64,"Dois Lados","Wesley Safadão",1463720,https://open.spotify.com/track/3vSXPjfcebTt5mB8DXHWM6
65,"Don't Start Now","Dua Lipa",1463621,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
66,Paredão,"MC Kevinho",1449625,https://open.spotify.com/track/5FFpRbsH9WDYNoLauRAHpj
67,"Vai menina","Pedro Sampaio",1401666,https://open.spotify.com/track/1oQppEGTHYN53xfEaTz4ua
68,"Péssimo Negócio (Ao Vivo)",Dilsinho,1385499,https://open.spotify.com/track/5MMrkwK6AgNAsgHVdC7daZ
69,"Ela É do Tipo (feat. Drake) - Remix","MC Kevin o Chris",1364071,https://open.spotify.com/track/7qLnSuxwLNlcapat8OCWZp
70,"Porta Mala","Os Parazim",1361771,https://open.spotify.com/track/7vZqxuOvEwRHsGVaDykzpY
71,Girassol,"Priscilla Alcantara",1353087,https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj
72,"Não Abro Mão - Ao Vivo","Maiara & Maraisa",1343574,https://open.spotify.com/track/3L2uyIJoJPjYkSETVNSPBQ
73,"Dois Enganados","Murilo Huff",1331426,https://open.spotify.com/track/72N0CRIAqjETbhghrkCUW2
74,"Maturidade (feat. Matheus & Kauan)","Avine Vinny",1317371,https://open.spotify.com/track/64ePZsgVWO1zRVpHxY2VYC
75,"Flor Que Se Cheira - Ao Vivo","Guilherme & Benuto",1306053,https://open.spotify.com/track/49pu85144Xir6PgWjeyJhG
76,"Onda diferente (feat. Papatinho)",Anitta,1284538,https://open.spotify.com/track/2H8ETIUEoN9YMf56X66bxd
77,"Poesia Acústica #8: Amor e Samba","Pineapple StormTv",1277175,https://open.spotify.com/track/2RoWhAVtQrPU53BERYlmYZ
78,Café,Vitão,1268895,https://open.spotify.com/track/6i9ToXS6CAfjpp8veBklg1
79,"Perrengue - Ao Vivo","Gusttavo Lima",1258399,https://open.spotify.com/track/6mdU8glNHYdBBj5DuKSL1B
80,"Mágica - Ao Vivo","Matheus & Kauan",1255839,https://open.spotify.com/track/5cN5ZOVcYBl4Lnq50Zeqsx
81,"Hoje Eu Beberei - Ao Vivo","Felipe Araújo",1250776,https://open.spotify.com/track/4rnI4obabjGCPI2CCCs5VR
82,"Notificação Preferida - Ao Vivo","Zé Neto & Cristiano",1245891,https://open.spotify.com/track/3tA0vALUwrzkTgHcm9j6oJ
83,"Do Copo Eu Vim (feat. Marília Mendonça) - Ao Vivo em Brasília","Diego & Victor Hugo",1236286,https://open.spotify.com/track/7sl95MXCpM8WWsaH1BqvR3
84,"Meu Abrigo",Melim,1235059,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
85,"Ciumeira - Ao Vivo","Marília Mendonça",1234096,https://open.spotify.com/track/7D5F5BzIon5zhzQrOU2pdN
86,Milu,"Gusttavo Lima",1207413,https://open.spotify.com/track/1nqaSoiLuqevDes4S18sO7
87,"Casos Pendentes - Acústico","Diego & Arnaldo",1181104,https://open.spotify.com/track/24YUl9cgjcEvgJTr2WIT1q
