,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
35,36,36,Stuck with U (with Justin Bieber),Ariana Grande,12325361,4HBZA5flZLE435QTztThqH,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,3,228482
36,37,37,Mamichula - con Nicki Nicole,Trueno,12258388,4pXW6ZAHBz7ODXTRKklWrM,0.696,0.678,4,-5.893,0,0.0735,0.582,2.22e-06,0.134,0.346,91.985,4,219202
37,38,38,Before You Go,Lewis Capaldi,11752920,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,4,215107
38,39,39,TKN (feat. Travis Scott),ROSALÍA,11639615,4w47S36wQGBhGg073q3nt7,0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,4,129371
39,40,40,GREECE (feat. Drake),DJ Khaled,11470248,35RJhm1pEovTBwnNR0zWad,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,4,218902
40,41,41,Go Crazy,Chris Brown,11339424,1IIKrJVP1C9N7iPtG6eOsK,0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148,4,176960
41,42,42,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,11197461,0PvFJmanyNQMseIFrU708S,0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,4,190476
42,43,43,Djadja (feat. Maluma) - Remix,Aya Nakamura,11166146,6AzKhCHOms83jvNVLsz0Bt,0.791,0.682,5,-7.328,1,0.158,0.175,0,0.0926,0.672,98.031,4,166851
43,44,44,The Box,Roddy Ricch,11051850,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,4,196653
44,45,45,the last great american dynasty,Taylor Swift,10836544,2Eeur20xVqfUoM3Q7EFPFt,0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,4,230999
45,46,46,Supalonely,BENEE,10827137,4nK5YrxbMGZstTLbvj6Gxw,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,4,223480
46,47,47,Kings & Queens,Ava Max,10669854,76nqCfJOcFFWBJN32PAksn,0.638,0.688,1,-4.056,0,0.0407,0.00775,0,0.126,0.434,129.856,4,162399
47,48,48,Intentions (feat. Quavo),Justin Bieber,10550443,4umIPjkehX1r7uhmGvXiSV,0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,4,212867
48,49,49,my tears ricochet,Taylor Swift,10484092,1MgV7FIyNxIG7WzMRJV5HC,0.456,0.263,0,-10.63,1,0.0332,0.806,0,0.0749,0.111,129.86,4,255894
49,50,50,august,Taylor Swift,10435314,3hUxzQpSfdDqwM3ZTFQY0K,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,4,261923
50,51,51,Adore You,Harry Styles,10029829,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,207133
51,52,52,Tusa,KAROL G,9657089,7k4t7uLgtOxPwTpFmtJNTY,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4,200960
52,53,53,Circles,Post Malone,9649200,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4,215280
53,54,54,Mood Swings (feat. Lil Tjay),Pop Smoke,9409543,5rZlwNFl01HqLWBQGryKSm,0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,4,213333
54,55,55,Señorita,Shawn Mendes,9241660,6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,4,190800
55,56,56,goosebumps,Travis Scott,9157482,6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4,243837
56,57,57,"Ay, DiOs Mío!",KAROL G,9111677,7x4ASXYEKfQBCewcZhK776,0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,4,189653
57,58,58,Hawái,Maluma,9103904,4uoR6qeWeuL4Qeu2qJzkuG,0.787,0.728,6,-3.455,0,0.389,0.189,2.29e-05,0.0629,0.545,180.066,4,200198
